,nodes
9606.ENSP00000323929,0
9606.ENSP00000361423,1
9606.ENSP00000427562,2
9606.ENSP00000387356,3
9606.ENSP00000389326,4
9606.ENSP00000272067,5
9606.ENSP00000218758,6
9606.ENSP00000442656,7
9606.ENSP00000373574,8
9606.ENSP00000384296,9
9606.ENSP00000357668,10
9606.ENSP00000419446,11
9606.ENSP00000284984,12
9606.ENSP00000360997,13
9606.ENSP00000299164,14
9606.ENSP00000356975,15
9606.ENSP00000284987,16
9606.ENSP00000462647,17
9606.ENSP00000319883,18
9606.ENSP00000242786,19
9606.ENSP00000389814,20
9606.ENSP00000436607,21
9606.ENSP00000485525,22
9606.ENSP00000226355,23
9606.ENSP00000379138,24
9606.ENSP00000364210,25
9606.ENSP00000391490,26
9606.ENSP00000290953,27
9606.ENSP00000355627,28
9606.ENSP00000273784,29
9606.ENSP00000365227,30
9606.ENSP00000378191,31
9606.ENSP00000279146,32
9606.ENSP00000223836,33
9606.ENSP00000361140,34
9606.ENSP00000235835,35
9606.ENSP00000375892,36
9606.ENSP00000295897,37
9606.ENSP00000305988,38
9606.ENSP00000496166,39
9606.ENSP00000221496,40
9606.ENSP00000266581,41
9606.ENSP00000299155,42
9606.ENSP00000336762,43
9606.ENSP00000428340,44
9606.ENSP00000314897,45
9606.ENSP00000371347,46
9606.ENSP00000360170,47
9606.ENSP00000301455,48
9606.ENSP00000349588,49
9606.ENSP00000345848,50
9606.ENSP00000366109,51
9606.ENSP00000346032,52
9606.ENSP00000296511,53
9606.ENSP00000346550,54
9606.ENSP00000255040,55
9606.ENSP00000236850,56
9606.ENSP00000233242,57
9606.ENSP00000345179,58
9606.ENSP00000252486,59
9606.ENSP00000317674,60
9606.ENSP00000365081,61
9606.ENSP00000284981,62
9606.ENSP00000379097,63
9606.ENSP00000349446,64
9606.ENSP00000263620,65
9606.ENSP00000454341,66
9606.ENSP00000216124,67
9606.ENSP00000264914,68
9606.ENSP00000387435,69
9606.ENSP00000378897,70
9606.ENSP00000269299,71
9606.ENSP00000262030,72
9606.ENSP00000290299,73
