Value,Matched Value
H2BC21,9606.ENSP00000358151
CKB,9606.ENSP00000299198
HK2,9606.ENSP00000290573
ENO2,9606.ENSP00000437402
CKM,9606.ENSP00000221476
NRXN3,9606.ENSP00000489551
SOD1,9606.ENSP00000270142
ESD,9606.ENSP00000367992
NACA,9606.ENSP00000448035
KIF23,9606.ENSP00000260363
CSNK2A1,9606.ENSP00000217244
GOT1,9606.ENSP00000359539
AURKA,9606.ENSP00000216911
PDE1A,9606.ENSP00000410309
PPIA,9606.ENSP00000419425
TOP1,9606.ENSP00000354522
PRDX5,9606.ENSP00000265462
EIF4G2,9606.ENSP00000433664
UBE2N,9606.ENSP00000316176
PES1,9606.ENSP00000346725
TK1,9606.ENSP00000468425
UBE2I,9606.ENSP00000348056
RNASEH1,9606.ENSP00000313350
PDE2A,9606.ENSP00000334910
HNRNPAB,9606.ENSP00000425031
PEBP1,9606.ENSP00000261313
YWHAZ,9606.ENSP00000379287
HK1,9606.ENSP00000494664
TPT1,9606.ENSP00000477781
YWHAQ,9606.ENSP00000371267
HINT1,9606.ENSP00000304229
AGR2,9606.ENSP00000391490
KPNA2,9606.ENSP00000438483
LRRK2,9606.ENSP00000298910
YWHAE,9606.ENSP00000264335
STIP1,9606.ENSP00000351646
CAT,9606.ENSP00000241052
RAD51,9606.ENSP00000493712
XRCC6,9606.ENSP00000352257
RBM39,9606.ENSP00000253363
METAP1,9606.ENSP00000296411
IMPDH1,9606.ENSP00000345096
AURKB,9606.ENSP00000313950
YWHAB,9606.ENSP00000361930
METAP2,9606.ENSP00000325312
UBC,9606.ENSP00000441543
ALDOA,9606.ENSP00000496166
PSMA1,9606.ENSP00000414359
PSMA6,9606.ENSP00000261479
PSMA2,9606.ENSP00000223321
H2AZ1,9606.ENSP00000296417
MED1,9606.ENSP00000300651
EIF5,9606.ENSP00000216554
PPA1,9606.ENSP00000362329
SNRPF,9606.ENSP00000266735
PFDN5,9606.ENSP00000447942
UBB,9606.ENSP00000478771
NRXN1,9606.ENSP00000385142
HMGN1,9606.ENSP00000370125
PCNA,9606.ENSP00000368458
PRDX1,9606.ENSP00000262746
ENTPD5,9606.ENSP00000335246
HNRNPA2B1,9606.ENSP00000346694
ATP5PO,9606.ENSP00000290299
PARK7,9606.ENSP00000340278
TYMS,9606.ENSP00000315644
IMPDH2,9606.ENSP00000321584
EIF4H,9606.ENSP00000265753
ENTPD3,9606.ENSP00000301825
EIF4A3,9606.ENSP00000497641
KPNB1,9606.ENSP00000290158
PGM1,9606.ENSP00000360124
SYNCRIP,9606.ENSP00000358635
PGAM1,9606.ENSP00000359991
PGD,9606.ENSP00000270776
PRDX6,9606.ENSP00000342026
NME1,9606.ENSP00000337060
RPS27A,9606.ENSP00000272317
ADSL,9606.ENSP00000485525
CMPK1,9606.ENSP00000360939
PGK1,9606.ENSP00000362413
RPS7,9606.ENSP00000495273
HSP90AB1,9606.ENSP00000360609
GPI,9606.ENSP00000405573
HNRNPK,9606.ENSP00000365458
ATP5F1B,9606.ENSP00000262030
RAN,9606.ENSP00000446215
TKT,9606.ENSP00000391481
EIF5A,9606.ENSP00000336702
HSPA8,9606.ENSP00000437125
AK1,9606.ENSP00000223836
PKM,9606.ENSP00000320171
NME2,9606.ENSP00000376886
EEF1B2,9606.ENSP00000376055
RPS3A,9606.ENSP00000346050
PA2G4,9606.ENSP00000302886
ENO1,9606.ENSP00000495530
RPSA,9606.ENSP00000389351
RPS3,9606.ENSP00000278572
TPI1,9606.ENSP00000229270
